STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,YEAR_POPES_SUB_001,Year at 30 June,AREA_POPES_SUB_001,Area,MEASURE_POPES_SUB_001,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06000,Christchurch city,POP,,383800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06200,Selwyn district,POP,,63300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06300,Ashburton district,POP,,34600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06400,Timaru district,POP,,47600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06500,Mackenzie district,POP,,5100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06600,Waimate district,POP,,8120,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06700,Chatham Islands territory,POP,,690,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06800,Waitaki district,POP,,22900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,06900,Central Otago district,POP,,22200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07000,Queenstown-Lakes district,POP,,42500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07100,Dunedin city,POP,,131200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07200,Clutha district,POP,,18050,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07300,Southland district,POP,,31900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07400,Gore district,POP,,12800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07500,Invercargill city,POP,,55900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07600,Auckland,POP,,1654800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07601,Rodney local board area,POP,,69100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07602,Hibiscus and Bays local board area,POP,,108500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07603,Upper Harbour local board area,POP,,66800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07604,Kaipatiki local board area,POP,,92900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07605,Devonport-Takapuna local board area,POP,,60500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07606,Henderson-Massey local board area,POP,,124600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07607,Waitakere Ranges local board area,POP,,54200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07608,Aotea/Great Barrier local board area,POP,,960,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07609,Waiheke local board area,POP,,9360,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07610,Waitemata local board area,POP,,88500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07611,Whau local board area,POP,,84100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07612,Albert-Eden local board area,POP,,103700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07613,Puketapapa local board area,POP,,60900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07614,Orakei local board area,POP,,87700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07615,Maungakiekie-Tamaki local board area,POP,,80500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07616,Howick local board area,POP,,149400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07617,Mangere-Otahuhu local board area,POP,,82700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07618,Otara-Papatoetoe local board area,POP,,90500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07619,Manurewa local board area,POP,,100900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07620,Papakura local board area,POP,,61100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,07621,Franklin local board area,POP,,77700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,10000,Total New Zealand by territorial authority,POP,,4900600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2018,2018,99900,Area outside territorial authority,POP,,40,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00100,Far North district,NETINTERNATIONAL,,410,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00100,Far North district,NETMIG,,930,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00100,Far North district,POP,,69100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00200,Whangarei district,NETINTERNATIONAL,,440,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00200,Whangarei district,NETMIG,,920,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00200,Whangarei district,POP,,95400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00300,Kaipara district,NETINTERNATIONAL,,70,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00300,Kaipara district,NETMIG,,490,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,00300,Kaipara district,POP,,24300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01100,Thames-Coromandel district,NETINTERNATIONAL,,100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01100,Thames-Coromandel district,NETMIG,,560,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01100,Thames-Coromandel district,POP,,31200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01200,Hauraki district,NETINTERNATIONAL,,50,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01200,Hauraki district,NETMIG,,230,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01200,Hauraki district,POP,,21000,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01300,Waikato district,NETINTERNATIONAL,,440,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01300,Waikato district,NETMIG,,1700,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01300,Waikato district,POP,,80400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01500,Matamata-Piako district,NETINTERNATIONAL,,250,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01500,Matamata-Piako district,NETMIG,,290,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01500,Matamata-Piako district,POP,,35800,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01600,Hamilton city,NETINTERNATIONAL,,2500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01600,Hamilton city,NETMIG,,2300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01600,Hamilton city,POP,,172400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01700,Waipa district,NETINTERNATIONAL,,450,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01700,Waipa district,NETMIG,,1300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01700,Waipa district,POP,,56500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01800,Otorohanga district,NETINTERNATIONAL,,50,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01800,Otorohanga district,NETMIG,,-30,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01800,Otorohanga district,POP,,10550,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01900,South Waikato district,NETINTERNATIONAL,,70,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01900,South Waikato district,NETMIG,,110,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,01900,South Waikato district,POP,,25100,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02000,Waitomo district,NETINTERNATIONAL,,0,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02000,Waitomo district,NETMIG,,-70,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02000,Waitomo district,POP,,9600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02100,Taupo district,NETINTERNATIONAL,,410,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02100,Taupo district,NETMIG,,580,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02100,Taupo district,POP,,39400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02200,Western Bay of Plenty district,NETINTERNATIONAL,,570,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02200,Western Bay of Plenty district,NETMIG,,1200,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02200,Western Bay of Plenty district,POP,,54400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02300,Tauranga city,NETINTERNATIONAL,,1900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02300,Tauranga city,NETMIG,,3600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02300,Tauranga city,POP,,146600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02400,Rotorua district,NETINTERNATIONAL,,1000,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02400,Rotorua district,NETMIG,,360,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02400,Rotorua district,POP,,75600,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02500,Whakatane district,NETINTERNATIONAL,,270,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02500,Whakatane district,NETMIG,,150,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02500,Whakatane district,POP,,37400,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02600,Kawerau district,NETINTERNATIONAL,,30,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02600,Kawerau district,NETMIG,,50,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02600,Kawerau district,POP,,7530,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02700,Opotiki district,NETINTERNATIONAL,,150,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02700,Opotiki district,NETMIG,,160,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02700,Opotiki district,POP,,9900,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02800,Gisborne district,NETINTERNATIONAL,,370,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02800,Gisborne district,NETMIG,,500,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02800,Gisborne district,POP,,50300,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02900,Wairoa district,NETINTERNATIONAL,,60,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02900,Wairoa district,NETMIG,,20,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,02900,Wairoa district,POP,,8760,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,03000,Hastings district,NETINTERNATIONAL,,920,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,03000,Hastings district,NETMIG,,670,
DATAFLOW,STATSNZ:POPES_SUB_001(1.0),"Subnational population component changes and median age (RC, TA), at 30 June 2018-2024",I,2019,2019,03000,Hastings district,POP,,85800,
